Month,Region,Revenue_Target
Jan 2025,North,50000
Jan 2025,South,48000
Jan 2025,East,43000
Jan 2025,West,40000
Feb 2025,North,50800
Feb 2025,South,48800
Feb 2025,East,43800
Feb 2025,West,40800
Mar 2025,North,51600
Mar 2025,South,49600
Mar 2025,East,44600
Mar 2025,West,41600
Apr 2025,North,50000
Apr 2025,South,48000
Apr 2025,East,43000
Apr 2025,West,40000
May 2025,North,50800
May 2025,South,48800
May 2025,East,43800
May 2025,West,40800
Jun 2025,North,51600
Jun 2025,South,49600
Jun 2025,East,44600
Jun 2025,West,41600
Jul 2025,North,50000
Jul 2025,South,48000
Jul 2025,East,43000
Jul 2025,West,40000
Aug 2025,North,50800
Aug 2025,South,48800
Aug 2025,East,43800
Aug 2025,West,40800
Sep 2025,North,51600
Sep 2025,South,49600
Sep 2025,East,44600
Sep 2025,West,41600
Oct 2025,North,50000
Oct 2025,South,48000
Oct 2025,East,43000
Oct 2025,West,40000
Nov 2025,North,50800
Nov 2025,South,48800
Nov 2025,East,43800
Nov 2025,West,40800
Dec 2025,North,51600
Dec 2025,South,49600
Dec 2025,East,44600
Dec 2025,West,41600
